Timestamp,Sex:,Household Monthly Income (Php):,"Based on the Myers–Briggs Type Indicator (MBTI) test, what is your personality type? ",Would you like your future college program to be related to your current track/strand?,Which track/strand are you part of?,In which specialized subject do you have the highest grade?,In which specialized subject do you have the highest grade?,In which specialized subject do you have the highest grade?,What is your specialization/strand?,In which core subject do you have the highest grade?,[Primary Skill],[Secondary Skill],Select 1 thing you'd enjoy doing the most,Select 1 thing you'd enjoy doing the most,Select 1 thing you'd enjoy doing the most,Select 1 thing you'd enjoy doing the most,"Which university are you planning to attend for college? (If college student, please enter your current university)","What college program are you considering to take? (If college student, please enter your current program)"
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,ABM,Business Math,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Organizing large-scale events,Analyzing financial data,Dealing with human behavior,Polytechnic University of the Philippines,BS in Business Administration
9/29/2024 21:13:55,Male,"18,200 to 109,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,STEM,,Calculus,,,,"Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people, Taking care of others,Helping others learn,Dealing with human behavior,San Beda University ,BS in Nursing
10/27/2024 10:43:47,Male,"Less than 9,100 to 18,200","ESFP (Outgoing, spontaneous, and playful. They love being the center of attention and are enthusiastic and fun-loving.)",No,,,,,,Pagbasa at Pagsusuri ng Iba’t-Ibang Teksto Tungo sa Pananaliksik,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Studying political systems,PLP,AB in Communication
10/23/2024 21:10:57,Male,"Less than 9,100 to 18,200","ESTJ (Organized, efficient, and direct. They value tradition and order, excelling in leadership and decision-making.)",Yes,TVL Track,,,,ICT/CSS,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Drawing and creating digital designs,Editing videos,Programming,Reading/Writing content,Arellano University,BS in Information Technology
10/25/2024 19:21:17,Male,"Less than 9,100 to 18,200","ESTJ (Organized, efficient, and direct. They value tradition and order, excelling in leadership and decision-making.)",Yes,STEM,,Research/Capstone Project,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Solving math problems,Programming,Reading/Writing content,University of the Philippines,BS in Computer Science
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","ESTJ (Organized, efficient, and direct. They value tradition and order, excelling in leadership and decision-making.)",Yes,TVL Track,,,,ICT/CSS,,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Drawing and creating digital designs, Solving math problems, Dealing with designs of buildings/infrastructures,Reading/Writing content,URS,BS in Architecture
9/29/2024 21:13:55,Male,"Less than 9,100 to 18,200","ESTJ (Organized, efficient, and direct. They value tradition and order, excelling in leadership and decision-making.)",Yes,HUMSS,,,Disciplines and Ideas in the Applied Social Sciences,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Physical and Health Activities,Interacting with people,Helping others learn,Dealing with human behavior,Our Lady of Fatima University,AB in Psychology
10/25/2024 19:21:17,Male,"Less than 9,100 to 18,200","ESTP (Energetic, bold, and pragmatic. They are action-oriented and thrive in dynamic environments, enjoying new experiences.)",Yes,HUMSS,,,"Community Engagement, Solidarity and Citizenship",,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Physical and Health Activities,Interacting with people,Helping others learn,Traveling,ICCT,BS in Criminology
10/25/2024 19:21:17,Male,"Less than 9,100 to 18,200","ESTP (Energetic, bold, and pragmatic. They are action-oriented and thrive in dynamic environments, enjoying new experiences.)",Yes,HUMSS,,,"Community Engagement, Solidarity and Citizenship",,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Physical and Health Activities,Interacting with people,Helping others learn,Traveling,ICCT,BS in Criminology
10/27/2024 10:42:45,Male,"Less than 9,100 to 18,200","ESTP (Energetic, bold, and pragmatic. They are action-oriented and thrive in dynamic environments, enjoying new experiences.)",Yes,HUMSS,,,Creative Writing / Malikhaing Pagsulat,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)",Talking/Presenting in front of people,Interacting with people,Performing on stage,Reading/Writing content,UP,AB in Communication
10/27/2024 18:48:19,Female,"Less than 9,100 to 18,200","ESTP (Energetic, bold, and pragmatic. They are action-oriented and thrive in dynamic environments, enjoying new experiences.)",Yes,ABM,Organization and Management,,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Managing a business,Organizing large-scale events,Analyzing financial data,Reading/Writing content,RTU,BS in Entrepreneurship
10/27/2024 18:48:19,Female,"18,200 to 109,200","ESTP (Energetic, bold, and pragmatic. They are action-oriented and thrive in dynamic environments, enjoying new experiences.)",Yes,ABM,Organization and Management,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Interacting with people,Analyzing financial data,Reading/Writing content,ICCT,BS in Entrepreneurship
9/20/2024 19:41:51,Male,"Less than 9,100 to 18,200","ESTP (Energetic, bold, and pragmatic. They are action-oriented and thrive in dynamic environments, enjoying new experiences.)",Yes,STEM,,Research/Capstone Project,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Editing videos, Programming,Reading/Writing content,Pamantasan ng Lungsod ng Pasig,BS in Computer Science
9/29/2024 21:13:55,Female,"18,200 to 109,200","ESTP (Energetic, bold, and pragmatic. They are action-oriented and thrive in dynamic environments, enjoying new experiences.)",Yes,STEM,,Calculus,,,,"Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Physical and Health Activities,Taking care of others,Helping others learn,Dealing with human behavior,Our Lady of Fatima University ,BS in Nursing
9/30/2024 12:34:54,Male,"Less than 9,100 to 18,200","ESTP (Energetic, bold, and pragmatic. They are action-oriented and thrive in dynamic environments, enjoying new experiences.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Learning things about technology,Solving math problems,Analyzing financial data,Traveling,PUP,BS in Civil Engineering
10/23/2024 21:10:57,Male,"Less than 9,100 to 18,200",INFJ,Yes,TVL Track,,,,ICT/CSS,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology,Solving math problems,Programming,Reading/Writing content,I'm not sure,BS in Information Technology
9/13/2024 7:05:15,Female,"18,200 to 109,200",INFJ,Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)", Talking/Presenting in front of people,Interacting with people,Helping others learn, Reading/Writing content,Far Eastern University,AB in Communication
9/29/2024 20:57:57,Female,"Less than 9,100 to 18,200",INFJ,Yes,HUMSS,,,"Trends, Networks and Critical Thinking in the 21st Century Culture",,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Reading/Writing content,PLP( pamantasang lungsod ng pasig),BS in Education
9/29/2024 21:13:55,Female,"18,200 to 109,200",INFJ,Yes,STEM,,Calculus,,,,"Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Physical and Health Activities,Interacting with people,Helping others learn,Dealing with human behavior,Our Lady of Fatima University ,BS in Nursing
9/30/2024 2:57:14,Male,"Less than 9,100 to 18,200",INFJ,Yes,HUMSS,"Trends, Networks and Critical Thinking in the 21st Century Culture",,,,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Taking care of others,Helping others learn,Studying political systems,ICCT,BS in Criminology
9/30/2024 2:57:14,Male,"Less than 9,100 to 18,200",INFJ,Yes,HUMSS,"Trends, Networks and Critical Thinking in the 21st Century Culture",,,,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Taking care of others,Helping others learn,Studying political systems,ICCT,BS in Criminology
9/30/2024 2:57:14,Male,"Less than 9,100 to 18,200",INFJ,Yes,HUMSS,"Trends, Networks and Critical Thinking in the 21st Century Culture",,,,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Taking care of others,Helping others learn,Studying political systems,ICCT,BS in Criminology
10/23/2024 21:10:57,Male,"Less than 9,100 to 18,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",No,,,,,,Physical Education and Health,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Learning things about technology,Editing videos,Programming,Reading/Writing content,PUP,BS in Information Technology
10/27/2024 15:40:22,Male,"18,200 to 109,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",Yes,STEM,,General Biology,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Interacting with people,Analyzing financial data,Reading/Writing content,Pamantasan ng Lungsod ng Pasig,BS in Computer Science
10/27/2024 18:48:19,Female,"Less than 9,100 to 18,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",Yes,HUMSS,,,Philippine Politics and Governance,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Studying political systems,tip,AB in Political Science
10/27/2024 18:48:19,Female,"Less than 9,100 to 18,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",Yes,HUMSS,,,Philippine Politics and Governance,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Studying political systems,Rizal Technological University,AB in Political Science
10/27/2024 19:12:50,Female,"Less than 9,100 to 18,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",Yes,HUMSS,,,Philippine Politics and Governance,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)",Learning things about technology,Editing videos,Helping others learn,Reading/Writing content,Rizal Technological University,AB in Political Science
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",Yes,ABM,Business Math,,,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)",Managing a business,Interacting with people,Analyzing financial data,Reading/Writing content,Polytechnic University of the Philippines,BS in Business Administration
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",No,,,,,,Reading and Writing Skills,"Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Physical and Health Activities,Taking care of others,Helping others learn,Dealing with human behavior,University of La verne,AB in Psychology
9/29/2024 21:13:55,Female,"18,200 to 109,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",Yes,STEM,,Research/Capstone Project,,,,"Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Physical and Health Activities,Interacting with people,Helping others learn,Dealing with human behavior,NU/UST/DLSU,AB in Psychology
9/29/2024 21:13:55,Female,"18,200 to 109,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",Yes,STEM,,Research/Capstone Project,,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Talking/Presenting in front of people,Taking care of others,Helping others learn,Dealing with human behavior,Ateneo de Manila,AB in Psychology
9/30/2024 12:34:54,Female,"Less than 9,100 to 18,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Learning things about technology,Solving math problems,Dealing with designs of buildings/infrastructures,Reading/Writing content,National University - Manila,BS in Civil Engineering
9/30/2024 12:34:54,Male,"18,200 to 109,200","INFJ (Insightful, creative, and reserved. They seek to make a difference and are driven by their strong sense of purpose.)",Yes,STEM,,General Chemistry,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology,Solving math problems, Programming, Traveling,Pamantasan ng Lungsod ng Pasig,BS in Computer Science
9/29/2024 21:13:55,Prefer not to say,"18,200 to 109,200",INFP,No,,,,,,Reading and Writing Skills,"Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Physical and Health Activities,Interacting with people,Helping others learn,Studying political systems,"RTU, PLP",AB in Political Science
10/23/2024 21:10:57,Male,"Less than 9,100 to 18,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",No,,,,,,General Mathematics,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Talking/Presenting in front of people,Solving math problems,Analyzing financial data,Reading/Writing content,Polytechnic University of the Philippines ,BS in Mathematics
10/25/2024 19:21:17,Female,"18,200 to 109,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",Yes,STEM,,Calculus,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Learning things about technology,Solving math problems,Programming,Dealing with human behavior,Arellano University ,BS in Computer Science
9/13/2024 15:53:17,Male,"Less than 9,100 to 18,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",Yes,HUMSS,,,Creative Writing / Malikhaing Pagsulat,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)",Talking/Presenting in front of people,Interacting with people,Performing on stage, Studying political systems    ,Far Eastern University,AB in Political Science
9/13/2024 7:05:15,Female,"18,200 to 109,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",No,,,,,,Media and Information Literacy,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)", Talking/Presenting in front of people,Interacting with people,Performing on stage, Reading/Writing content,ADMU,AB in Communication
9/15/2024 19:17:08,Female,"18,200 to 109,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",No,,,,,,Statistics and Probability,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Talking/Presenting in front of people,Organizing large-scale events,Helping others learn,Cooking and presenting dishes,Columbus State University ,BS in Hospitality Management
9/28/2024 19:34:31,Male,"Less than 9,100 to 18,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",Yes,STEM,,Research/Capstone Project,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Learning things about technology,Solving math problems,Analyzing financial data,Reading/Writing content,Polytechnic University of the Philippines,BS in Information Technology
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",Yes,ABM,Business Math,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Managing a business, Solving math problems,Analyzing financial data,Dealing with human behavior,Pamantasan ng Lungsod ng Pasig,BS in Accountancy
9/29/2024 21:13:55,Prefer not to say,"18,200 to 109,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Talking/Presenting in front of people,Taking care of others, Helping others learn,Reading/Writing content,Rizal Technological University,AB in Psychology
9/29/2024 21:13:55,Female,"18,200 to 109,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",Yes,HUMSS,,,Philippine Politics and Governance,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Organizing large-scale events,Analyzing financial data, Studying political systems,Polytechnic University of the Philippines,BS in Public Administration
9/30/2024 12:34:54,Female,"18,200 to 109,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Learning things about technology,Solving math problems,Dealing with designs of buildings/infrastructures,Reading/Writing content,PUP/ UP,BS in Civil Engineering
9/30/2024 2:57:14,Female,"18,200 to 109,200","INFP (Idealistic, empathetic, and introspective. They strive to understand themselves and others, valuing authenticity and compassion.)",Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Dealing with human behavior,MIA,BS in Education
10/23/2024 21:10:57,Male,"Less than 9,100 to 18,200",INTJ,Yes,TVL Track,,,,ICT/CSS,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology,Editing videos,Programming,Traveling,ICCT,BS in Information Technology
9/15/2024 19:17:08,Male,"Less than 9,100 to 18,200",INTJ,Yes,TVL Track,,,,ICT/CSS,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Solving math problems,Programming,Reading/Writing content,PUP,BS in Information Technology
10/03/2024 22:57,Female,"Less than 9,100 to 18,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Reading/Writing content,Polytechnic University of the Philippines,BA in Sociology
10/03/2024 22:57,Female,"18,200 to 109,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Dealing with human behavior,Polytechnic University of the Philippines,BA in Sociology
10/03/2024 22:57,Female,"Less than 9,100 to 18,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,HUMSS,,,"Community Engagement, Solidarity and Citizenship",,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)",Physical and Health Activities, Solving math problems,Helping others learn,Dealing with human behavior,Polytechnic University of the Philippines,BA in Sociology
10/03/2024 22:57,Female,"18,200 to 109,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Dealing with human behavior,Polytechnic University of the Philippines,BA in Sociology
10/27/2024 18:48:19,Male,"109,200 and above","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,STEM,,General Physics,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Drawing and creating digital designs,Solving math problems,Programming,Traveling,FEU,BS in Computer Engineering
9/13/2024 15:53:17,Female,"18,200 to 109,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,HUMSS,,,"Trends, Networks and Critical Thinking in the 21st Century Culture",,,"Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Dealing with human behavior,Polytechnic University of the Philippines,BA in Sociology
9/13/2024 7:05:15,Male,"18,200 to 109,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,STEM,,General Biology,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Learning things about technology,Solving math problems,Programming,Reading/Writing content,ATENEO DE MANILA UNIVERSITY ,BS in Computer Engineering
9/15/2024 19:17:08,Female,"Less than 9,100 to 18,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,HUMSS,,,Disciplines and Ideas in the Applied Social Sciences,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Managing a business,Organizing large-scale events,Performing on stage,Traveling,ICCT,BS in Hospitality Management
9/28/2024 19:34:31,Male,"Less than 9,100 to 18,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,STEM,,Research/Capstone Project,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Learning things about technology,Solving math problems,Dealing with designs of buildings/infrastructures,Traveling,Pamantasan Ng Lungsod Ng Pasig,BS in Electronics Engineering
9/28/2024 19:34:31,Male,"Less than 9,100 to 18,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,HUMSS,,,Disciplines and Ideas in the Applied Social Sciences,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Dealing with human behavior,Pamantasan ng Lungsod ng Pasig,BS in Education
9/28/2024 19:49:43,Male,"Less than 9,100 to 18,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,STEM,,General Chemistry,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology,Solving math problems, Programming,Traveling,PUP,BS in Information Technology
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,STEM,,Research/Capstone Project,,,,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Solving math problems,Dealing with designs of buildings/infrastructures,Traveling,Pamantasan Ng Lungsod Ng Pasig,BS in Electronics Engineering
9/29/2024 21:09:02,Male,"Less than 9,100 to 18,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,STEM,,Research/Capstone Project,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Learning things about technology,Solving math problems,Dealing with designs of buildings/infrastructures,Reading/Writing content,Pamantasan Ng Lungsod Ng Pasig,BS in Electronics Engineering
9/29/2024 21:09:02,Female,"18,200 to 109,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,ABM,Organization and Management,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Interacting with people,Analyzing financial data,Reading/Writing content,Rizal Technological University,BS in Business Administration
9/29/2024 21:13:55,Male,"18,200 to 109,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,STEM,,General Chemistry,,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Talking/Presenting in front of people,Taking care of others, Helping others learn,Dealing with human behavior,National University ,AB in Psychology
9/30/2024 12:34:54,Female,"18,200 to 109,200","INTJ (Strategic, logical, and independent. They are innovative thinkers who focus on long-term planning and goals.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Learning things about technology,Solving math problems,Dealing with designs of buildings/infrastructures,Traveling,RTU,BS in Civil Engineering
